uri,text,language,created_at,author_handle,author_display_name,external_link
at://did:plc:forl4et4fhortbe3ocavjy7k/app.bsky.feed.post/3loud4rybgs2c,"stream went super well today!!! very cozy, and got a few sidequests going :3

 also, we're getting super close to Affiliate!! 3/4 requirements are finished as of today!!! at this point, just need the followers <3 if you see this, plz give a follow!! 

twitch.tv/riverember",en,2025-05-11T01:39:34.000Z,riverember.bsky.social,River Ember | VTuber 🤍🧡❤️,https://twitch.tv/riverember
at://did:plc:nzsd3ckkcueviu4o5s2tbfdw/app.bsky.feed.post/3loud4s7hpt2g,"MAGA extremists are falling for white Christian nationalist ideas, a severe danger to our democratic freedoms.

Strengthen constitutional separation of church and state. Oppose radical right-wing authoritarian Project 2025.",,2025-05-11T01:39:34Z,fwcollaborative.bsky.social,Freedom Writers Collaborative,http://dlvr.it/TKhNVJ
at://did:plc:ubyqi2b4c4qanay4wn6wtptl/app.bsky.feed.post/3loud4rwzfk2x,This is a mood,en,2025-05-11T01:39:33.956Z,pup-bear.bsky.social,2025: A PupBear Discovery 🔭🔍,
at://did:plc:bx4zl34mqjen4lhm273q3ecx/app.bsky.feed.post/3loud4rt2h22q,"More that they're trying to find a Jewish connection, via Maggie Gylenhaal. Otherwise why even raise the issue?",en,2025-05-11T01:39:33.829Z,joeinaustralia.bsky.social,Joe Slater,
at://did:plc:wnhlwfb44kfyi4gb6yc2tvbz/app.bsky.feed.post/3loud4rsvks2f,"ᴛʀᴜᴍᴩ ᴀᴩᴩᴏɪɴᴛᴇᴇ ᴊᴇᴀɴɪɴᴇ ᴩɪʀʀᴏ ꜱᴛɪꜰꜰᴇᴅ ᴄʀᴇᴅɪᴛᴏʀꜱ ᴏɴ $600ᴋ ɪɴ ᴄᴀᴍᴩᴀɪɢɴ ᴅᴇʙᴛꜱ ꜱɪɴᴄᴇ 2006.

Jeanine Pirro, Trump’s pick for interim U.S. attorney in D.C., left nearly $600K in unpaid 2006 Senate campaign debts to 20+ vendors. ⤵",en,2025-05-11T01:39:33.822Z,ajsdecepida.bsky.social,𝐚𝐧𝐝𝐲 𝐉.𝐒. 𝐃𝐞𝐜𝐞𝐩𝐢𝐝𝐚 🇨🇦 🇺🇦 ¬1ɩ,
at://did:plc:hhlcarhwsnctxxfl4b3jdq57/app.bsky.feed.post/3loud4rnfrs2y,Just a little bit 🙂‍↕️,en,2025-05-11T01:39:33.644Z,bigmamageneral.bsky.social,♡ Big Mama General 🫡,
at://did:plc:sfoad2m3ypdj4wx3puewd5ul/app.bsky.feed.post/3loud4rmdm22n,Thank youuu 💙 I wanted to draw something that hopefully bring a little smile ^^,en,2025-05-11T01:39:33.608Z,aomarine.bsky.social,aomarine,
at://did:plc:lsvlkbp4isoxc442e2ix425t/app.bsky.feed.post/3loud4rf27c22,How is that a foul?,en,2025-05-11T01:39:33.370Z,slimreaper3.bsky.social,,
at://did:plc:3mxks5jq4v6ctaapu2pckzda/app.bsky.feed.post/3loud4rdke22c,Sounds like yankee hatred of red Sox tears to me...and I don't give a FF for either team😁😁😁,en,2025-05-11T01:39:33.316Z,longcoolwoman.bsky.social,Longcoolwoman,
at://did:plc:i53e6y3liw2oaw4s6e6odw5m/app.bsky.feed.post/3loud4rurbm2d," James Antaki has worked for over 30 years on a device to help infants with holes in their hearts and other defects. Now it’s all at risk. https://www. nbcnews.com/news/us-news/pedia flow-research-babies-heart-defects-trump-administration-rcna197155?u...

| Details | Interest | Feed |",en,2025-05-11T01:39:33Z,bluesky.awakari.com,Awakari,https://flipboard.com/@nowyouknow/%F0%9F%94%AC-%F0%9F%A7%AC-%F0%9F%95%B5%EF%B8%8F%E2%80%8D%E2%99%82%EF%B8%8F-%F0%9F%A7%AA-science-discoveries-innovations-research-breakthroughs-unique-id-dfelqsdjz/-/a-ym5tvUHSRSatavsJW57Ilg%3Aa%3A220507260-%2F0
at://did:plc:sb4fu6yuijzb35lpe7vlor37/app.bsky.feed.post/3loud4qxlk22s,"PASS THIS ON!!!

Think about this. Every time the local police have a bust of drug gangs, they always show off the guns, and drugs ceased. 

Wonder why ICE and Trump aren't showing off anything.  They say they are only going after bad criminals. 

Where are the drugs???

Where are the guns???",en,2025-05-11T01:39:32.928Z,audiofriend.bsky.social,,
at://did:plc:227c7v6yq3k3ekzjb6krobk6/app.bsky.feed.post/3loud4quhwk2w,😀 George is on a roll!,en,2025-05-11T01:39:32.827Z,mjkco.bsky.social,Matt,
at://did:plc:qejc5g3on7wkr5axbvnraaml/app.bsky.feed.post/3loud4qrbfc22,That's a beautiful Slavo creation. Love the colour,en,2025-05-11T01:39:32.721Z,karenbdc.bsky.social,Karen Douglas 🇨🇦,
at://did:plc:iwjdqgqwmtdjogpuyszl5xry/app.bsky.feed.post/3loud4qqlvs2j,they tried.....to remove a banner of one of their own supporters groups?,en,2025-05-11T01:39:32.700Z,svertelney.bsky.social,Seth Vertelney,
at://did:plc:pdb3d4pnpuj6krxpdh6y6elm/app.bsky.feed.post/3loud4ql5422o,Is this a hot mess or did I do ok?,en,2025-05-11T01:39:32.508Z,evilcowboymusic.bsky.social,HoJo🎃,
at://did:plc:rvisfrtg2v4ppgiwwmsewyh7/app.bsky.feed.post/3loud4qgdrs22,"Icon for good measure :3, she's the first character to recieve 3 whole colors on the limited color icon!! woah !!!",en,2025-05-11T01:39:32.332Z,melodytown.bsky.social,Melody♪,
at://did:plc:shtvp6e3g6vilw4r4ptltqd5/app.bsky.feed.post/3loud4qcyec2q,"Só o q falta
Pq a menina não tinha nada q estar nesse assunto da mala

Ela tá mto aleatória nesse núcleo",pt,2025-05-11T01:39:32.253Z,agatetv.bsky.social,Nat,
at://did:plc:oez273wv6sn6xjb7d7gji7qr/app.bsky.feed.post/3loud4qbua22d,"Yep. Also, I have a big beefy computer for high end gaming. Know what I can't do on it? Play binding of isaac when I'm on a train for two hours a day.",en,2025-05-11T01:39:32.215Z,bitralmond.eldritch.buzz,BitrAlmond,
at://did:plc:ojcwkdtm3cqqusiuyp4aujh2/app.bsky.feed.post/3loud4qayv22w,"""Lob actually"" a Rene Zellweger film",en,2025-05-11T01:39:32.189Z,wckrause.bsky.social,Bill Krause👊🇺🇲🔥,
at://did:plc:zvbvhvbfsik2unri5raxegff/app.bsky.feed.post/3loud4qaahs2b,"Middle aged suburban dad obsessed with being neat and tidy. 

My walk up would be to push a mower in my khakis and white tennis shoes. 

Someone would leave their shoes on the ramp, and that would send me.",en,2025-05-11T01:39:32.162Z,jerryschippa.bsky.social,Jerry Schippa,
at://did:plc:mzkqrjubaawybwrzszgjy6op/app.bsky.feed.post/3loud4q4u322y,"I'm not willing to go that far, but Cassian is a compelling character. Love this series.",en,2025-05-11T01:39:31.980Z,blackironfitter669.bsky.social,Blackironfitter,
at://did:plc:xama3o24aged6w4kckdfecv6/app.bsky.feed.post/3loud4phzy72h,"A woman is in critical condition after a welfare check led to an officer-involved shooting in Wasilla Friday night, according to Alaska State Troopers.",,2025-05-11T01:39:31.316Z,alaskasnewssource.com,Alaska's News Source,https://www.alaskasnewssource.com/2025/05/10/woman-with-life-threatening-injuries-after-officer-involved-shooting/
