uri,text,language,created_at,author_handle,author_display_name,external_link
at://did:plc:dsuqmkrbjn2urjcmcghz2n5a/app.bsky.feed.post/3loud4m2ozs2e,"Labor won & then immediately punched down. Bad look. Says a lot about today's Labor - not so much about their prey. Why are they acting like insecure, low-tier individuals? What are they ashamed of? Scalding & punishing those with inviolable values & principles doesn't absolve your own sins.",en,2025-05-11T01:39:27.788Z,sarsaparillajane.bsky.social,SarsaparillaJANE,
at://did:plc:gexps5yw3pbmbvmm6qrird7x/app.bsky.feed.post/3loud4lurlc22,I would gladly watch a 1 hour procedural starring you as Dr Mom.,en,2025-05-11T01:39:27.594Z,gogers21.bsky.social,nuanced opinion guy,
at://did:plc:uvbvdl6dfvotqkt4n4ncgebc/app.bsky.feed.post/3loud4lsidk2h,"Holder: ‘It may come down to the American people hitting the streets’ if Trump defies the law - 'As the courts send a message back to Trump, Fmr. U.S. AG Eric Holder weighs in on the President’s ongoing and escalating clashes with the courts.' - Video: www.msn.com/en-us/news/p...",en,2025-05-11T01:39:27.505Z,chetterhub.bsky.social,Chetter 🌊🏳️‍🌈🗽⚖ Democracy needs YOU!,
at://did:plc:ug63h7eddodvx5pw5mwzcmdt/app.bsky.feed.post/3loud4lqjtk2o,"i love the idea of doing a “drawing (idol) x/50” challenge, i’ve been seeing some lately and they seem so fun",en,2025-05-11T01:39:27.454Z,xstarfall.bsky.social,kris,
at://did:plc:f6blvhoicmtr6vpc3ank5pc7/app.bsky.feed.post/3loud4lpsfk2v,Today’s #dailybloom is from our tibouchina bush! What a lovely purple (almost blue) aka Princess #flower. Got purple and yellow going on to represent LSU #bloomscrolling,en,2025-05-11T01:39:27.421Z,hicosin.bsky.social,H. C. Sinclair,
at://did:plc:ldnjhckr7ytkr3br62glchme/app.bsky.feed.post/3loud4mbk2o2l,"(Repost) Poetry Packed Out: Gentile Pink Encore and Much More

Happy Mother's Day to you all, Dear Readers!!! This includes those who play the role, the single fathers, the widows, the expectant mothers and everyone in between!! This edition of Poetry Packed Out was written several years ago for a…",,2025-05-11T01:39:27Z,tasuperkid.bsky.social,,https://theautisticsuperblog.wordpress.com/2025/05/10/repost-poetry-packed-out-gentile-pink-encore-and-much-more/
at://did:plc:b4paoe6dnxyambbfut4l466a/app.bsky.feed.post/3loud4l54qk23,"Would love to go to Chych-TVR, but I JC can’t move to the left and I have no knowledge for Roy on that side. Sandin-JC did pretty well in the RS, hope Roy fits a little better with Chych and that TVR can handle offside and see what Bear can do",en,2025-05-11T01:39:26.807Z,thehitmanpunk.bsky.social,Dave D,
at://did:plc:b4paoe6dnxyambbfut4l466a/app.bsky.feed.post/3loud4l4qzk23,"Trying to throw a wrench at the lineup to figure it out. Even in a game for the 1st period I saw I thought he was ok, Alexeyev ended the game underwater, I think it seems clear you can’t afford to continually ice him without trying something",en,2025-05-11T01:39:26.804Z,thehitmanpunk.bsky.social,Dave D,
at://did:plc:zjxvf45d2a6pwnygvyf3sxzf/app.bsky.feed.post/3loud4kzems2q,"Starving a child is violence,” Coretta Scott King told a gathering of the Poor People’s Campaign on the National Mall in 1968, just weeks after her husband had been assassinated in Memphis, Tennessee. ourmoralmoment.substack.com/p/why-should...",en,2025-05-11T01:39:26.695Z,mikestarace.bsky.social,,https://ourmoralmoment.substack.com/p/why-should-another-child-go-hungry?publication_id=4608222
at://did:plc:dyfsat6sz54ytltw3u7f7tr2/app.bsky.feed.post/3loud4kybhs2j,Anyone who has achieved anything and credits themselves first either severely discounts or ignores the help they got along the way. This nation (and never was or will be for those types of people) a meritocracy or on merit. You owe a lot to others.,en,2025-05-11T01:39:26.655Z,nightdrive2000.bsky.social,Night Drive Staycation,
at://did:plc:76wr6ve6j7h6nwomdavlo7ra/app.bsky.feed.post/3loud4ksyjk2i,Been here for a while… 🥹 why this game hates me?,en,2025-05-11T01:39:26.475Z,blakesalt.bsky.social,BlakeSalt🏳️‍🌈,
at://did:plc:b5qvegtihpoumwwwmn2yhvt3/app.bsky.feed.post/3loud4ksivk22,ive gone full oc x canon mode tho past me would HATE me. going from “ummm… you made a Fan Character to kiss this guy you like? um… lol… kinda weird…” to “yeah… my oc WOULD be bill edward from another code recollection’s babygirl!!!!”,en,2025-05-11T01:39:26.471Z,edwardmansion.bsky.social,jen @ crashing outttt,
at://did:plc:qmxa2et3sg3g6rrjyfpp5lsh/app.bsky.feed.post/3loud4kqt6s2e,Expedition 33 started off as a really strong contender and in less than thirty hours in I'm wasting 10-15 minutes on trash mobs that get 7 attacks per animation that if you don't perfectly parry kill you in 3 or 4 hits. What's the point of even having health bars in this game? Not sure I'll finish.,en,2025-05-11T01:39:26.416Z,omnisilvertongue.bsky.social,Omni,
at://did:plc:sgti3jsgu3luif24tokvth3a/app.bsky.feed.post/3loud4klbhc23,"I'll say on this, as I have in the past, that I think most plagiarism scandals are overblown, often things that cld simply be carelessness. But the President of Harvard lost her job at least in part over what was apparently a much less serious case. So wld be wrong to brush this off.",en,2025-05-11T01:39:26.234Z,joshtpm.bsky.social,Josh Marshall,
at://did:plc:bgk63632xc6czmh6h5tkgccv/app.bsky.feed.post/3loud4kfoqk2u,i delayed it for over a year but today i finally beat persona 3 reload... no matter how many times i play thru this story i'll always cry😭😭 i love this game so freaking much,en,2025-05-11T01:39:26.047Z,lunxhark.bsky.social,🌙 hark,
at://did:plc:d4nd2cxcyfgy6xganbcszfui/app.bsky.feed.post/3loud4kc3j22a,"I love a good “day for night” cheat in an old technicolor movie. It’s totally unnatural, but always gives off this lovely blue hue. I sometimes wish nighttime actually looked that way.",en,2025-05-11T01:39:25.928Z,jpmendelson.bsky.social,Joel Mendelson,
at://did:plc:iemqu5uhpmokyzppydv6gl6f/app.bsky.feed.post/3loud4kajpc2m,"A few non-British manufacturers have operations there (e.g. Nissan, Toyota), but mainly for local market production for high volume models.",en,2025-05-11T01:39:25.876Z,karanj.bsky.social,Karan J,
at://did:plc:lsf5athpmro357xm5ro6xzro/app.bsky.feed.post/3loud4jzf6s2g,"Eu não tô louca, eu que eu não tô. O Jihoon só pode ser um filho perdido do jk, desde a primeira vez que vi ele eu acho a cara do jk",pt,2025-05-11T01:39:25.602Z,manuztt13.bsky.social,"are you sure, manu?! ૯८Һ૦ 🍓",
at://did:plc:ld5beftqobz3fklkq7r4adyq/app.bsky.feed.post/3loud4jud3c2w,"«Next year, in Yavin»

Ja, nadie me va a convencer de que no lo sacaron de: 

«L'Shana Haba'ah B'Yerushalayim», el año que viene en Jerusalén.",es,2025-05-11T01:39:25.481Z,emilmartinez.bsky.social,Emil,
at://did:plc:gjedt6a34e4zikj6gz4xq2rx/app.bsky.feed.post/3loud4joz5s2f,"Well, so far so good if your aim is to provide wheels for oligarchs and a safe landing spot for racist white Africans.
#DearLeaderStrikesAgain",en,2025-05-11T01:39:25.308Z,rochatter.bsky.social,Stevo K,
at://did:plc:h6b2jbuxuc7sjh3nb22ijqo5/app.bsky.feed.post/3loud4jj7mc2e,"exatamente, com a venda dos órgãos da pra comprar muito mais coisa",pt,2025-05-11T01:39:25.117Z,angelojinxer.bsky.social,𝕝𝕠𝕓𝕠 𝕕𝕖 𝕘ê𝕟𝕖𝕣𝕠 𝕕𝕚𝕤𝕔𝕦𝕥í𝕧𝕖𝕝,
at://did:plc:holoiwgi53rvwg5d3vl3dd3a/app.bsky.feed.post/3loud4jgknk2z,"I did notice some mutuals following this list. I don't want to reach out and cause drama if this is what you believe, but I will NOT stand for ANY slander against mental disorders. Period. 

This is a safe space where we will NOT demonize others and perpetuate stigmas against mentally ill ppl.",en,2025-05-11T01:39:25.031Z,pupware.bsky.social,Pixel 🐬 Artist 🏳️‍⚧️,
at://did:plc:yczvxutbb3jc2xcmxwj34e5t/app.bsky.feed.post/3loud4jby6227,"Clearly, Tikka sent you someone. Do you have a name yet?",en,2025-05-11T01:39:24.874Z,wokeful.bsky.social,Wokeful,
at://did:plc:aptecnafcnnsefqc2whqrhgg/app.bsky.feed.post/3loud4j6sm22d,Agree 👍💯. A book of lies and cons. Sad.,en,2025-05-11T01:39:24.777Z,keeperofthekey.bsky.social,,
at://did:plc:tfeojozwxidyhpuzeufzylgs/app.bsky.feed.post/3loud4j4ei22y,"Alright, I made a very strong effort when picking games for my new backlog list and narrowed it down to 209 games!

Please send help.😅😭🪦",en,2025-05-11T01:39:24.697Z,shenobifactor.craves.pizza,Rina Vs The Backlog Monster,
at://did:plc:betp23lgzeqnnpindclox2ys/app.bsky.feed.post/3loud4j3g7c2m,"I agree with you, though, he’s a symptom of the big problem.",en,2025-05-11T01:39:24.666Z,imaginaryerika.bsky.social,Erika with a K,
at://did:plc:yo7gp3chkkruv4ae7swo3nc5/app.bsky.feed.post/3loud4iw77k2a,"I'm only encouraging 1 player to transfer, with actual facilities and assistants now, it might be a better move to hold on to some of these players with more potential to see if they can develop. Unfortunately for Sophomore PF Oliver Morrisey, his potential is not very high",en,2025-05-11T01:39:24.494Z,joshuafielding9.bsky.social,Joshua Fielding,
